campaign_id,bank_name,campaign_name,campaign_category,source_group,source_url,start_date,end_date,current_status,listing_status,fetch_status,comparison_eligible,classification_confidence,classification_reason,first_seen_at,last_seen_at,last_checked_at,finance_type,profit_share_rate_min,profit_share_rate_max,financing_amount_min,financing_amount_max,maturity_min_months,maturity_max_months,installment_count,allocation_fee_amount,allocation_fee_rate,allocation_fee_status,expense_status,expense_details,campaign_advantage,grace_period_months
64,Albaraka Türk,"Giyim, Çiçek ve Kozmetik Harcamalarınızda 1.000TL’ye varan Worldpuan!",points_campaign,Albaraka World Kampanyaları,https://albaraka.com.tr/tr/world-dunyasi/detay/giyim-cicek-ve-kozmetik-harcamalarinizda-1000tlye-varan-worldpuan,2026-05-01,2026-05-31,expired,unknown,ok,1,0.96,Puan avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
22,Albaraka Türk,HGS Talimatınıza 500 TL Worldpuan!,points_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/hgs-talimatiniza-500-tl-worldpuan,2026-01-01,2026-12-31,active,unknown,ok,1,0.96,Puan avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
67,Albaraka Türk,Hepsiburada Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,card_campaign,Albaraka World Kampanyaları,https://albaraka.com.tr/tr/world-dunyasi/detay/hepsiburada-harcamalarinizda-worlde-ozel-6-taksit-firsati,2026-07-01,2026-08-31,active,unknown,ok,1,0.94,Kart harcamasına taksit/vade farksız avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
24,Albaraka Türk,Hızlı Döviz İşlemleri Yanınızda!,other_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/hizli-doviz-islemleri-yaninizda,2026-07-01,2026-12-31,active,unknown,ok,1,0.84,"Kampanya ifadesiyle tutar, oran veya dönem kanıtı bulundu.",2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
23,Albaraka Türk,Hızlı Çiçek %20 İndirim Kampanyası,discount_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/hizli-cicek-20-indirim-kampanyasi,2026-05-01,2026-12-31,active,unknown,ok,1,0.94,İndirim veya iade avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
25,Albaraka Türk,Kahve Keyfiniz Albaraka’dan!,other_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/kahve-keyfiniz-albarakadan-5,2026-07-01,2026-07-31,active,unknown,ok,1,0.84,"Kampanya ifadesiyle tutar, oran veya dönem kanıtı bulundu.",2026-07-31T05:05:07+00:00,2026-07-31T05:19:46+00:00,2026-07-31T05:19:46+00:00,,,,,,,,,,,,,,,
399,Albaraka Türk,Kahve Keyfiniz Albaraka’dan!,other_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/kahve-keyfiniz-albarakadan-1,2026-08-01,2026-08-31,active,unknown,ok,1,0.84,"Kampanya ifadesiyle tutar, oran veya dönem kanıtı bulundu.",2026-08-10T06:03:45+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
26,Albaraka Türk,Kampanyaya Katılım Adımları:,card_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/kirtasiye-kampanyasi,2026-06-01,2026-09-30,active,unknown,ok,1,0.94,Kart harcamasına taksit/vade farksız avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
392,Albaraka Türk,Kampanyaya Katılım Adımları:,new_customer_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/agustos-ayina-ozel-fatura-kampanyasi,2026-08-01,2026-08-31,active,unknown,ok,1,0.95,Yeni müşteri avantajı bulundu.,2026-08-10T06:03:45+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
70,Albaraka Türk,Kiğılı ve Abdullah Kiğılı Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,card_campaign,Albaraka World Kampanyaları,https://albaraka.com.tr/tr/world-dunyasi/detay/kigili-ve-abdullah-kigili-harcamalarinizda-worlde-ozel-6-taksit-firsati,2026-07-01,2026-12-31,active,unknown,ok,1,0.94,Kart harcamasına taksit/vade farksız avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
400,Albaraka Türk,Konaklamanın Ayrıcalıklı Hali!,discount_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/konaklamanin-ayricalikli-hali-1,2026-01-01,2026-12-31,active,unknown,ok,1,0.94,İndirim veya iade avantajı bulundu.,2026-08-10T06:03:45+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
71,Albaraka Türk,LC Waikiki Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,card_campaign,Albaraka World Kampanyaları,https://albaraka.com.tr/tr/world-dunyasi/detay/lc-waikiki-harcamalarinizda-worlde-ozel-6-taksit-firsati,2026-07-01,2026-12-31,active,unknown,ok,1,0.94,Kart harcamasına taksit/vade farksız avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
28,Albaraka Türk,Limitsiz İMM Sigortasında Vade Farksız 3 Taksit!,card_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/limitsiz-imm-sigortasinda-vade-farksiz-3-taksit-2,2026-03-01,2026-12-31,active,unknown,ok,1,0.94,Kart harcamasına taksit/vade farksız avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
29,Albaraka Türk,MTV Ödemelerinize Vade Farksız 3 Taksit!,card_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/mtv-odemelerinize-vade-farksiz-3-taksit-10,2026-07-01,2026-07-31,active,unknown,ok,1,0.94,Kart harcamasına taksit/vade farksız avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-07-31T05:19:46+00:00,2026-07-31T05:19:46+00:00,,,,,,,,,,,,,,,
72,Albaraka Türk,MediaMarkt Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,card_campaign,Albaraka World Kampanyaları,https://albaraka.com.tr/tr/world-dunyasi/detay/mediamarkt-harcamalarinizda-worlde-ozel-6-taksit-firsati,2026-07-01,2026-07-31,expired,unknown,ok,1,0.94,Kart harcamasına taksit/vade farksız avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
