id,campaign_id,audience_type,audience_label,details,extracted_at
5808,393,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5811,394,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5813,395,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5809,396,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5829,397,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5837,398,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5858,400,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5859,400,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5870,401,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5871,401,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5872,402,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5873,402,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5875,403,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5881,404,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5882,404,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5883,405,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5884,405,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5887,406,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5888,406,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5893,407,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5843,408,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5844,408,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5900,409,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5901,409,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5908,410,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5909,410,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5927,411,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5928,411,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5938,412,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6171,416,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6172,419,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6173,421,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6174,422,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6196,423,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6175,429,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6177,431,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6178,432,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6181,434,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6179,435,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6183,436,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6182,437,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6184,443,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
