campaign_id,minimum_transaction_amount,maximum_transaction_amount,installment_count,installment_cost_rate,installment_cost_text,evidence_text,extracted_at
135,,,,0.0,Vade farksız (%0),Columbia’da Vade Farksız 6 Aya Varan Taksit Fırsatı Kampanya Tarihleri 20.08.2025 - 31.12.2026 Kampanyayı Paylaş Kuveyt Türk bireysel kredi kartları ile 31 Aralık 2026 tarihine kadar Columbia ve The Moose Bay’den yapacağınız alışverişlerinizde vade farksız 6 aya varan taksit imkanı sizi bekliyor.,2026-08-10T13:45:46+00:00
136,,,,0.0,Vade farksız (%0),Daikin'de 2.000 TL İndirim ve Vade Farksız 8 Aya Varan Taksit Fırsatı!,2026-08-10T13:45:46+00:00
137,,,9,,,Demirdöküm’de 9 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
138,,,2,0.0,Vade farksız (%0),"Desa Grup’ta Vade Farksız 2 Taksit Fırsatı Kampanya Tarihleri 16.09.2025 - 31.12.2026 Kampanyayı Paylaş Kuveyt Türk bireysel kredi kartları ile 31 Aralık 2026 tarihine kadar Desa Grubun (Samsonite, Desa , Adesa) mağazalarında yapacağınız alışverişlerinizde vade farksız 2 taksit imkanı sizi bekliyor.",2026-08-10T13:45:46+00:00
139,,,,0.0,Vade farksız (%0),Divarese’de Vade Farksız 4 Aya Varan Taksit Fırsatı!,2026-08-10T13:45:46+00:00
141,,,,0.0,Vade farksız (%0),EasyCep‘te Vade Farksız 9 Aya Varan Taksit Fırsatı!,2026-08-10T13:45:46+00:00
142,,,5,0.0,Vade farksız (%0),Eğitim Harcamalariniza 5 Taksit Imkani Kampanya Tarihleri 12.02.2024 - 31.12.2026 Kampanyayı Paylaş Sağlam Kart Eğitim Kampanyası Artık Kuveyt Türk Mobil ’de!,2026-08-10T13:45:46+00:00
143,,,5,0.0,Vade farksız (%0),Eğitim ve Sağlık Harcamalarınızda 5 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
144,,,9,0.0,Vade farksız (%0),"Kampanya kapsamında; Yıldızlı otellerde %10 indirim, Helal hassasiyetli yurt dışı turlarında %8 indirim, Tüm umre turlarında %6 indirim, yurt içi Otel rezervasyonlarında vade farksız 9 taksit avantajları sizleri bekliyor.",2026-08-10T13:45:46+00:00
146,,,,0.0,Vade farksız (%0),Enplus ile 3 Aya Varan Vade Farksız Taksit İmkanı!,2026-08-10T13:45:46+00:00
147,,,,0.0,Vade farksız (%0),Fakir’de Vade Farksız 3 Aya Varan Taksit Fırsatı Kampanya Tarihleri 18.09.2025 - 31.12.2026 Kampanyayı Paylaş Kuveyt Türk bireysel kredi kartları ile 31 Aralık 2026 tarihine kadar Fakir’den yapacağınız alışverişlerinizde vade farksız 3 aya varan taksit imkanı sizi bekliyor.,2026-08-10T13:45:46+00:00
148,1000.0,300000.0,3,0.0,Vade farksız (%0),Gelir Vergisi Ödemelerinizde 3 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
149,,,,0.0,Vade farksız (%0),Gree Klima’da Vade Farksız 11 Aya Varan Taksit Fırsatı!,2026-08-10T13:45:46+00:00
150,,,,0.0,Vade farksız (%0),Gündoğdu Mobilya’da Vade Farksız 9 Aya Varan Taksit Fırsatı!,2026-08-10T13:45:46+00:00
151,,,9,0.0,Vade farksız (%0),Gürgençler'de 9 Aya Varan Taksit İmkanı!,2026-08-10T13:45:46+00:00
